reference_number,vendor,customer_name,street_address,contact_phone,postcode_region,commissioning_date,connectivity,service_tier,last_service_visit
02135,OEM_A,Wiebke Dettmer,Ahornweg 111,redacted,81,04.06.2025,connected,care,2025-09-29
th-02035,oem a,Kerstin Zschiesche,Lindenhof 123a,redacted,13,2023-08-04,connected,care_plus,2025-01-13
TH-02189,B,Jörg Ebeling,Schulstraße 118,redacted,04,2025-04-07,connected,care_plus,2024-11-16
TH-02338,oem c,Frank Kortmann,Waldsaum 97,redacted,60,2023-07-24,connected,care,2024-10-11
th-02109,OEM A,Gudrun Kaminski,Mühlenstraße 30,redacted,60,28.04.2025,connected,free,2025-09-16
TH-02199,B,Ingrid Hillebrand,Feldmark 5,redacted,04,2025-04-16,not_connected,free,2025-02-11
TH-02148,OEM B,Claudia Kaminski,Nordring 22,redacted,20,2025-10-19,connected,optimize,
  TH-02373 ,C,Christoph Ebeling,Tannenweg 14,redacted,13,19.10.2025,not_connected,optimize,2025-07-28
th-02196,OEM B,Ingrid Radtke,Buchenkamp 100b,redacted,81,31.05.2023,connected,care_plus,
02339,OEM_C,Bettina Gebhardt,Im Winkel 147,redacted,13,2025-02-06,connected,free,2026-04-09
TH-02260,OEM B,Heike Gebhardt,Pappelweg 59,redacted,70,2023-11-06,connected,care,2025-05-04
th-02363,OEM_C,Christoph Gebhardt,Tannenweg 126b,redacted,90,09.12.2025,connected,free,2025-03-17
TH-02309,oem c,Jens Gebhardt,Nordring 119,redacted,90,19.04.2025,connected,optimize,2024-08-12
TH-02180-1,B,Andreas Radtke,Hauptstraße 123b,redacted,10,17.10.2025,connected,optimize,2026-02-07
TH-02001-1,oem a,Manuela Niehaus,Gartenstraße 46,redacted,81,2024-11-26,connected,optimize,2025-02-07
TH-02251,B,Bettina Ebeling,Birkenallee 79,redacted,12,2024-12-27,connected,optimize,2025-12-03
th-02170,oem-b,Ulrike Weinhold,Nordring 67,redacted,13,2023-08-16,connected,optimize,
th-02020,OEM_A,Heike Grabowski,Uferstraße 39a,redacted,90,16.02.2025,connected,optimize,2025-05-20
TH-02282,oem-b,Petra Ebeling,Schulstraße 119a,redacted,22,29.01.2025,not_connected,free,2026-02-16
  TH-02271 ,OEM B,Jens Zschiesche,Kirchweg 11b,redacted,22,2025-07-09,connected,care,
  TH-02084 ,A,Katrin Bartels,Nordring 70a,redacted,10,2026-02-16,connected,care,2025-11-28
TH 02300,C,Heike Uhlig,Uferstraße 47a,redacted,81,2025-02-13,connected,optimize,2025-05-29
TH-02368,OEM_C,Sabine Gebhardt,Tannenweg 99b,redacted,50,2025-02-17,unknown,free,2025-04-15
TH-02332,OEM_C,Thorsten Lindemann,Gartenstraße 70,redacted,20,24.10.2024,not_connected,care,2025-07-31
TH-02206,oem-b,Manuela Thiemann,Tannenweg 40,redacted,60,09.02.2025,connected,optimize,2026-01-21
TH-02164,OEM_B,Katrin Zschiesche,Schulstraße 75,redacted,30,2025-01-21,not_connected,free,2025-08-13
TH-02297,C,Petra Jansen,Ahornweg 94,redacted,60,2025-03-17,connected,free,2025-02-12
TH-02371,OEM_C ,Ulrike Bartels,Lindenhof 101,redacted,10,2023-05-24,connected,care,
TH-02078,A,Jörg Fährmann,Pappelweg 96,redacted,10,2024-01-30,connected,optimize,
TH-02395,C,Dagmar Pfefferle,Uferstraße 118,redacted,81,22.05.2024,connected,optimize,
TH-02242,B,Ingrid Lindemann,Im Winkel 100,redacted,04,2024-10-09,connected,free,2026-03-28
th-02269,OEM_B,Frank Radtke,Gartenstraße 132,redacted,04,21.03.2025,connected,free,2025-05-26
TH 02279,OEM B,Gerhard Sassenberg,Schulstraße 5b,redacted,60,2023-02-06,connected,free,2025-07-22
TH-02113,OEM A,Andreas Möllenkamp,Lindenhof 97,redacted,22,2024-11-22,connected,optimize,2025-11-29
TH-02177,OEM B,Thorsten Jansen,Erlenring 64,redacted,60,2025-06-25,connected,care,2025-09-09
th-02299,OEM_C ,Thorsten Brinkmann,Erlenring 100a,redacted,40,2023-11-16,connected,free,2026-01-08
TH-02068,OEM A,Dieter Thiemann,Feldmark 91b,redacted,10,2025-03-28,connected,free,
th-02339,oem c,Bettina Gebhardt,Im Winkel 147,redacted,13,06.02.2025,connected,free,
02346,C,Gerhard Hillebrand,Im Winkel 35b,redacted,90,2024-07-23,connected,free,
TH-02149-1,OEM_B,Norbert Brinkmann,Ostpreußenweg 118,redacted,12,14.11.2024,connected,optimize,2025-12-06
TH-02072,A,Lothar Grabowski,Hauptstraße 42,redacted,90,2023-03-20,connected,free,2025-07-12
02229,OEM_B,Bogdan Bartels,Birkenallee 52,redacted,80,14.01.2023,not_connected,care_plus,2024-12-20
TH-02386,oem c,Petra Oberkamp,Im Winkel 90,redacted,44,2025-06-02,not_connected,free,2026-03-27
TH-02374,oem c,Katrin Uhlig,Lindenhof 148,redacted,44,2025-09-03,connected,free,2026-02-03
TH-02005,oem a,Gerhard Niehaus,Gartenstraße 39,redacted,70,2025-09-12,connected,free,2025-09-23
TH-02100,oem a,Ingrid Fährmann,Waldsaum 133b,redacted,22,2024-04-28,connected,free,
TH-02063,oem a,Bettina Bartels,Lindenhof 131,redacted,50,06.04.2024,connected,free,
TH-02248,B,Manuela Fährmann,Waldsaum 2,redacted,50,2025-12-28,connected,optimize,2026-01-06
TH-02082,oem a,Rainer Oestreich,Buchenkamp 11,redacted,80,2023-01-08,not_connected,free,
TH-02348,oem c,Rainer Gebhardt,Nordring 114a,redacted,30,29.10.2024,connected,free,2025-10-29
TH-02047-1,A,Thorsten Sassenberg,Waldsaum 74,redacted,10,11.11.2024,connected,free,2025-06-03
TH-02185-1,oem-b,Claudia Kaminski,Ahornweg 116,redacted,81,2023-12-24,connected,free,
th-02357,C,Bettina Lindemann,Kirchweg 66,redacted,20,2023-09-15,connected,optimize,2025-03-14
TH-02330,oem c,Dieter Gebhardt,Ostpreußenweg 143,redacted,60,2025-10-23,not_connected,free,2025-01-20
TH-02156,B,Wiebke Jansen,Quellenstraße 139a,redacted,40,23.11.2024,not_connected,care_plus,2026-03-21
TH-02215,OEM_B,Frank Weinhold,Schulstraße 110a,redacted,20,2024-11-04,connected,care,
TH-02347,C,Elke Ahrens,Im Winkel 72,redacted,81,2025-04-02,connected,free,2024-07-22
TH-02372,OEM_C ,Jörg Hillebrand,Kirchweg 78b,redacted,13,2025-10-17,unknown,care,2024-10-19
  TH-02379 ,C,Holger Kaminski,Tannenweg 71b,redacted,80,2025-02-27,connected,free,
th-02241,OEM B,Lothar Möllenkamp,Tannenweg 87b,redacted,44,2023-09-21,not_connected,free,
TH-02226,oem-b,Kerstin Oberkamp,Ahornweg 29,redacted,70,2025-12-14,connected,free,
TH-02073,OEM A,Dieter Bartels,Lindenhof 112,redacted,44,15.11.2024,connected,optimize,
02341,C,Gudrun Vollmer,Buchenkamp 128a,redacted,22,2025-08-28,connected,free,2025-12-04
th-02111,oem a,Ingrid Gebhardt,Pappelweg 15,redacted,90,28.09.2024,connected,care,
TH-02168,oem-b,Wiebke Brinkmann,Quellenstraße 101,redacted,04,29.04.2025,connected,free,2025-07-07
TH-02202,oem-b,Lothar Fährmann,Ahornweg 40a,redacted,70,2023-04-25,connected,free,2026-05-07
TH-02277,OEM_B,Frank Weinhold,Ostpreußenweg 20a,redacted,10,2025-06-24,connected,care_plus,
TH-02254,OEM_B,Katrin Hillebrand,Birkenallee 64,redacted,10,2023-01-31,not_connected,free,
TH-02370,OEM_C,Katrin Kortmann,Pappelweg 32,redacted,60,2025-02-02,not_connected,free,2026-01-31
TH-02235,oem-b,Bettina Gebhardt,Nordring 73,redacted,04,29.09.2023,connected,free,2025-08-17
th-02226,OEM B,Kerstin Oberkamp,Ahornweg 29,redacted,70,14.12.2025,connected,free,
TH-02276,OEM B,Rainer Dettmer,Feldmark 52,redacted,81,2023-01-10,not_connected,optimize,2025-11-15
  TH-02236 ,B,Katrin Fährmann,Quellenstraße 86b,redacted,20,2023-04-10,connected,optimize,
TH-02190,oem-b,Gerhard Vollmer,Ahornweg 9,redacted,90,2025-01-21,connected,free,2025-07-17
TH-02230,oem-b,Gudrun Hillebrand,Uferstraße 53,redacted,13,2025-03-18,connected,care,
TH-02265,B,Christoph Fährmann,Ahornweg 64,redacted,10,2025-11-02,connected,free,
th-02025,OEM_A,Frank Zschiesche,Buchenkamp 129,redacted,13,2025-08-12,connected,free,2024-09-10
TH-02056,OEM_A,Manuela Fährmann,Quellenstraße 147b,redacted,81,23.12.2024,connected,care,
TH-02294,OEM_C,Eva Radtke,Tannenweg 33,redacted,22,22.09.2024,connected,optimize,2025-08-02
TH-02105,A,Gudrun Dettmer,Waldsaum 8,redacted,60,25.05.2024,not_connected,free,2025-04-05
TH 02208,oem-b,Dieter Oestreich,Schulstraße 81,redacted,30,2023-05-05,unknown,optimize,
02023,oem a,Kerstin Gebhardt,Schulstraße 82,redacted,44,15.01.2026,connected,optimize,2026-02-06
TH-02118,A,Heike Kaminski,Mühlenstraße 128,redacted,04,2024-06-08,connected,free,
TH-02085-1,oem a,Holger Thiemann,Erlenring 5,redacted,40,24.09.2025,connected,optimize,
th-02048,OEM A,Claudia Ahrens,Dorfstraße 79,redacted,22,01.11.2025,connected,care,2024-09-14
TH-02015,A,Wiebke Brinkmann,Erlenring 80a,redacted,50,23.01.2025,connected,optimize,
TH-02153,OEM_B,Ahmet Weinhold,Gartenstraße 23a,redacted,04,01.11.2023,connected,care_plus,2025-04-23
TH-02165-1,oem-b,Frank Thiemann,Lindenhof 26b,redacted,50,2025-10-23,connected,free,2024-08-17
TH-02094,OEM A,Kerstin Pfefferle,Buchenkamp 43a,redacted,12,24.11.2024,connected,care,2025-08-28
TH-02350,oem c,Jörg Weinhold,Birkenallee 95,redacted,70,2023-06-11,not_connected,optimize,2026-04-10
02263,OEM B,Bogdan Grabowski,Birkenallee 45,redacted,22,19.08.2025,not_connected,free,2026-02-17
th-02273,OEM B,Thorsten Lindemann,Waldsaum 61a,redacted,10,2025-11-30,connected,care,2024-10-26
th-02377,OEM_C ,Andreas Oestreich,Pappelweg 67b,redacted,10,26.02.2023,connected,free,
TH-02367,OEM_C,Jörg Hillebrand,Mühlenstraße 131,redacted,10,2023-02-23,connected,free,
TH-02318,OEM_C,Volker Lindemann,Feldmark 115,redacted,50,19.11.2023,not_connected,care,
TH 02354,oem c,Claudia Möllenkamp,Hauptstraße 18,redacted,10,2025-04-29,connected,free,2024-09-10
TH-02352,OEM_C,Eva Grabowski,Erlenring 111a,redacted,04,06.01.2026,connected,free,
th-02002,OEM A,Holger Ebeling,Buchenkamp 65b,redacted,10,2026-01-31,connected,optimize,
  TH-02120 ,A,Bogdan Möllenkamp,Dorfstraße 70a,redacted,50,2026-02-09,connected,care,
th-02046,oem a,Kerstin Gebhardt,Im Winkel 107,redacted,80,10.09.2024,connected,care,2025-01-19
TH-02312,oem c,Thorsten Oestreich,Uferstraße 38,redacted,50,2024-08-03,connected,care_plus,2024-07-09
TH-02227,B,Ulrike Kaminski,Gartenstraße 35,redacted,60,18.01.2026,not_connected,free,2025-09-24
TH-02116-1,oem a,Ingrid Oberkamp,Buchenkamp 1,redacted,20,2024-09-05,not_connected,free,2025-05-23
TH-02140,OEM_A,Claudia Dettmer,Birkenallee 18,redacted,30,2023-05-19,connected,free,2026-03-23
TH-02143,OEM_B,Ingrid Sassenberg,Im Winkel 48,redacted,90,2025-04-25,connected,free,
TH-02261,B,Sabine Bartels,Gartenstraße 88,redacted,04,2023-08-08,not_connected,care,2024-08-16
TH-02392,oem c,Ingrid Fährmann,Kirchweg 25,redacted,04,2024-03-28,not_connected,care_plus,
TH-02337,OEM_C,Petra Bartels,Birkenallee 121,redacted,50,2026-02-01,connected,care,2025-08-08
th-02319,OEM_C ,Claudia Hillebrand,Erlenring 105,redacted,10,2023-04-26,connected,care,2025-05-08
02080,OEM A,Jens Fährmann,Erlenring 3,redacted,80,04.01.2024,connected,care,
TH-02381,OEM_C ,Claudia Brinkmann,Buchenkamp 13b,redacted,60,23.11.2025,connected,optimize,2025-02-07
  TH-02322 ,OEM_C,Rainer Sassenberg,Schulstraße 6,redacted,80,13.08.2025,connected,care_plus,2025-05-09
TH 02393,OEM_C ,Bettina Kortmann,Ostpreußenweg 50,redacted,20,2024-05-14,connected,care_plus,2024-11-09
TH-02301,OEM_C,Lothar Gebhardt,Erlenring 7a,redacted,20,12.08.2023,unknown,optimize,
02213,OEM B,Wiebke Radtke,Nordring 56b,redacted,13,2023-03-03,connected,care_plus,2025-12-20
TH-02398,oem c,Dagmar Bartels,Lindenhof 126a,redacted,90,2025-05-15,connected,care_plus,
  TH-02231 ,OEM_B,Sabine Oberkamp,Ahornweg 48,redacted,10,2025-04-05,connected,care,2025-02-22
TH-02077,OEM_A,Petra Kaminski,Uferstraße 21,redacted,70,09.04.2024,connected,free,2025-01-15
02360,C,Dagmar Kortmann,Rosenkamp 26,redacted,20,11.12.2024,connected,optimize,
TH-02022,OEM_A,Jens Fährmann,Feldmark 105,redacted,30,2023-10-27,not_connected,free,
th-02316,OEM_C,Holger Sassenberg,Kirchweg 122,redacted,50,2023-11-08,connected,care,2025-07-11
TH-02212,OEM_B,Christoph Fährmann,Birkenallee 15,redacted,10,2025-08-25,not_connected,free,2025-06-20
TH-02058,OEM A,Holger Pfefferle,Rosenkamp 4,redacted,40,2025-05-05,not_connected,free,2024-11-15
TH-02173,OEM_B,Manuela Lindemann,Tannenweg 61a,redacted,70,2023-04-06,connected,optimize,
02399,OEM_C,Holger Uhlig,Kirchweg 62b,redacted,80,18.03.2024,connected,optimize,2025-01-03
TH-02396-1,C,Bettina Ahrens,Schulstraße 127a,redacted,60,25.11.2025,connected,optimize,2026-01-03
02201,OEM B,Manuela Möllenkamp,Nordring 42,redacted,50,2025-11-20,unknown,care,2024-08-26
TH 02351,oem c,Wiebke Ebeling,Lindenhof 3,redacted,44,22.12.2024,connected,optimize,2025-09-16
TH-02147,OEM_B,Eva Ebeling,Tannenweg 1,redacted,22,2023-10-12,not_connected,free,
02238,oem-b,Rainer Ahrens,Im Winkel 138a,redacted,81,2024-12-15,connected,free,
TH-02091,OEM_A,Jörg Fährmann,Waldsaum 77,redacted,40,2023-09-07,connected,free,2025-03-16
TH-02356,C,Eva Bartels,Schulstraße 91,redacted,04,13.04.2024,not_connected,care_plus,
TH-02128,OEM A,Volker Grabowski,Schulstraße 28,redacted,70,16.04.2023,not_connected,care_plus,2025-10-25
TH-02239,OEM B,Christoph Lindemann,Dorfstraße 8,redacted,70,18.05.2023,connected,care,2025-02-02
TH-02325,OEM_C,Andreas Gebhardt,Hauptstraße 20,redacted,44,26.03.2025,not_connected,care,2024-12-10
TH 02132,OEM A,Christoph Weinhold,Erlenring 105,redacted,12,2024-08-26,connected,optimize,
  TH-02186 ,oem-b,Wiebke Sassenberg,Pappelweg 128b,redacted,70,2025-02-03,not_connected,free,2024-09-14
TH-02219,oem-b,Petra Fährmann,Pappelweg 133,redacted,44,2025-09-23,not_connected,optimize,2025-06-14
TH-02285,OEM_B,Christoph Fährmann,Uferstraße 61a,redacted,22,30.04.2024,connected,optimize,2024-07-24
TH-02104,oem a,Katrin Oberkamp,Tannenweg 86,redacted,22,2024-06-13,not_connected,care,2026-03-05
TH-02039,A,Manuela Lindemann,Gartenstraße 89,redacted,22,2025-05-09,unknown,free,2025-07-03
TH-02192,B,Manuela Möllenkamp,Quellenstraße 35,redacted,22,10.10.2025,connected,free,2026-03-09
  TH-02391 ,OEM_C,Jens Kortmann,Kirchweg 92,redacted,81,13.10.2024,not_connected,care,2026-03-30
TH-02014,A,Frank Radtke,Ostpreußenweg 21,redacted,80,2023-10-23,not_connected,free,2024-08-08
  TH-02280 ,OEM_B,Volker Pfefferle,Uferstraße 117a,redacted,90,2025-01-18,connected,free,2026-01-28
TH-02075,oem a,Wiebke Sassenberg,Ahornweg 60,redacted,22,12.03.2025,connected,optimize,
TH-02204,oem-b,Katrin Kaminski,Waldsaum 46,redacted,22,21.07.2025,connected,optimize,2026-03-21
th-02009,oem a,Norbert Gebhardt,Mühlenstraße 137,redacted,60,2023-08-08,connected,care,2025-11-04
TH-02098,OEM_A,Bogdan Dettmer,Ostpreußenweg 52,redacted,13,2025-04-26,connected,care,2024-12-31
TH-02123,A,Volker Vollmer,Hauptstraße 55,redacted,30,2023-09-05,unknown,care,2026-02-12
  TH-02334 ,OEM_C ,Lothar Vollmer,Nordring 41,redacted,22,2023-05-25,not_connected,care,
TH-02207,OEM B,Gudrun Sassenberg,Dorfstraße 102,redacted,81,2023-05-12,connected,optimize,2026-03-23
TH-02256,oem-b,Frank Ahrens,Waldsaum 50,redacted,13,2024-05-29,connected,care_plus,2024-08-26
TH-02169,B,Heike Thiemann,Schulstraße 98,redacted,81,04.06.2024,connected,free,2025-09-23
TH-02345,OEM_C ,Dieter Sassenberg,Erlenring 101,redacted,60,2024-11-13,connected,optimize,2025-10-23
TH-02375-1,oem c,Frank Hillebrand,Ostpreußenweg 45,redacted,10,2025-10-23,connected,free,2025-03-14
th-02361,OEM_C ,Holger Ebeling,Erlenring 93b,redacted,13,2025-03-17,connected,free,
TH-02224,oem-b,Jörg Lindemann,Birkenallee 51,redacted,80,2025-12-09,connected,optimize,2025-12-09
TH-02228,OEM B,Dieter Oberkamp,Im Winkel 6,redacted,10,2023-07-10,connected,care,2024-07-28
TH-02086,oem a,Claudia Niehaus,Ostpreußenweg 132b,redacted,90,26.09.2024,connected,optimize,2025-08-18
TH-02286,OEM_B,Elke Sassenberg,Tannenweg 108b,redacted,80,2024-04-28,connected,care,2026-01-14
TH-02234-1,B,Wiebke Pfefferle,Dorfstraße 43a,redacted,90,2024-12-03,connected,free,2025-03-26
TH-02054,OEM A,Thorsten Grabowski,Feldmark 93,redacted,70,2023-04-28,not_connected,optimize,2025-07-13
TH-02060,OEM_A,Claudia Ahrens,Tannenweg 137,redacted,80,17.10.2025,not_connected,free,
TH 02394,C,Heike Dettmer,Nordring 46,redacted,22,23.10.2023,unknown,care,2025-08-20
